nome_imagem_digital,bbox_x1,bbox_y1,bbox_x2,bbox_y2,status,fator_1_recorte_correto,fator_2_qualidade_suficiente,operador_id,timestamp_avaliacao
919700457706_dedo1.bmp,6.0,29.0,242.0,309.0,concluido,Sim,Sim,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo2.bmp,3.0,733.0,208.0,945.0,concluido,Não,Não,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo3.bmp,0.0,960.0,234.0,1148.0,concluido,Sim,Sim,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo6.bmp,5.0,0.0,212.0,202.0,concluido,Sim,Sim,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo7.bmp,0.0,209.0,203.0,450.0,concluido,Sim,Sim,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo8.bmp,1.0,466.0,182.0,672.0,concluido,Não,Não,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo9.bmp,2.0,681.0,203.0,897.0,concluido,Sim,Sim,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457706_dedo10.bmp,1.0,901.0,161.0,1094.0,concluido,Sim,Sim,OpusIMERIBEIRO,2025-08-12T16:46:40.344612
919700457714_dedo1.bmp,15.0,0.0,272.0,263.0,concluido,Sim,Não,LAPTOP-Q6E8VM5R,2025-08-15T18:07:20.827455
919700457714_dedo2.bmp,17.0,285.0,252.0,499.0,concluido,Sim,Não,LAPTOP-Q6E8VM5R,2025-08-15T18:07:20.827455
919700457714_dedo3.bmp,15.0,535.0,251.0,736.0,concluido,Sim,Sim,LAPTOP-Q6E8VM5R,2025-08-15T18:07:20.827455
919700457714_dedo4.bmp,23.0,755.0,248.0,953.0,concluido,Sim,Não,LAPTOP-Q6E8VM5R,2025-08-15T18:07:20.827455
919700457714_dedo5.bmp,21.0,984.0,193.0,1136.0,concluido,Sim,Sim,LAPTOP-Q6E8VM5R,2025-08-15T18:07:20.827455
919700457714_dedo6.bmp,0.0,53.0,202.0,304.0,concluido,Sim,Sim,Rafael,2025-08-18T20:20:27.511618
919700457714_dedo7.bmp,1.0,308.0,213.0,516.0,concluido,Sim,Sim,Rafael,2025-08-18T20:20:27.511618
919700457714_dedo8.bmp,4.0,526.0,209.0,717.0,concluido,Sim,Sim,Rafael,2025-08-18T20:20:27.511618
919700457714_dedo9.bmp,5.0,742.0,198.0,949.0,concluido,Sim,Sim,Rafael,2025-08-18T20:20:27.511618
919700457714_dedo10.bmp,7.0,960.0,200.0,1137.0,concluido,Sim,Sim,Rafael,2025-08-18T20:20:27.511618
919700457773_dedo1.bmp,51.0,12.0,259.0,257.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo2.bmp,57.0,305.0,237.0,493.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo3.bmp,50.0,537.0,234.0,736.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo4.bmp,59.0,765.0,252.0,943.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo5.bmp,71.0,1009.0,235.0,1162.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo6.bmp,3.0,49.0,216.0,242.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo7.bmp,0.0,276.0,185.0,447.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo8.bmp,1.0,508.0,202.0,674.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo9.bmp,2.0,747.0,204.0,918.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457773_dedo10.bmp,8.0,955.0,211.0,1114.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo1.bmp,4.0,2.0,200.0,278.0,concluido,Não,Não,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo2.bmp,2.0,282.0,168.0,496.0,concluido,Não,Não,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo3.bmp,1.0,518.0,178.0,724.0,concluido,Não,Não,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo4.bmp,1.0,758.0,183.0,952.0,concluido,Não,Não,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo5.bmp,2.0,1015.0,141.0,1163.0,concluido,Não,Não,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo6.bmp,3.0,27.0,206.0,254.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo7.bmp,2.0,261.0,169.0,453.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo8.bmp,0.0,495.0,152.0,690.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo9.bmp,1.0,713.0,163.0,910.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457790_dedo10.bmp,0.0,929.0,122.0,1088.0,concluido,Sim,Sim,Rafael,2025-08-19T14:48:36.091810
919700457803_dedo1.bmp,34.0,18.0,246.0,221.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo2.bmp,48.0,256.0,233.0,455.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo3.bmp,56.0,480.0,238.0,672.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo4.bmp,52.0,718.0,233.0,913.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo5.bmp,38.0,945.0,219.0,1111.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo6.bmp,3.0,3.0,228.0,218.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo7.bmp,25.0,244.0,222.0,444.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo8.bmp,17.0,467.0,218.0,684.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo9.bmp,11.0,707.0,212.0,900.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457803_dedo10.bmp,20.0,939.0,191.0,1119.0,concluido,Não,Não,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo1.bmp,24.0,5.0,272.0,232.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo2.bmp,18.0,271.0,259.0,471.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo3.bmp,17.0,480.0,257.0,702.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo4.bmp,19.0,714.0,253.0,930.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo5.bmp,21.0,942.0,232.0,1141.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo6.bmp,13.0,7.0,271.0,221.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo7.bmp,17.0,244.0,242.0,441.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo8.bmp,2.0,474.0,244.0,665.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo9.bmp,23.0,687.0,243.0,883.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457811_dedo10.bmp,12.0,912.0,230.0,1078.0,concluido,Sim,Sim,Rafael,2025-08-19T14:51:23.338890
919700457820_dedo1.bmp,20.0,0.0,220.0,218.0,concluido,Não,Não,Rafael,2025-08-19T14:55:07.320576
919700457820_dedo2.bmp,26.0,231.0,200.0,503.0,concluido,Não,Não,Rafael,2025-08-19T14:55:07.320576
919700457820_dedo3.bmp,29.0,509.0,233.0,747.0,concluido,Não,Não,Rafael,2025-08-19T14:55:07.320576
